SL NO,From Date,PM2.5,PM10,NO,NO2,Nox,NH3,SO2,CO,Ozone,Benzene,Eth-Benzene,MP-Xylene,WS,WD,SR,BP,AT,RF
1,18-02-2019 00:00,58.04,81.06,1.81,6.4,9.66,27.18,13.77,0.49,15.73,0.92,None,0.33,1.86,229.44,0.22,1002.19,20.87,0
2,18-02-2019 01:00,60,82.39,1.91,6.08,9.7,26.46,13.64,0.44,18.36,0.84,None,0.29,1.54,217.2,1.46,956,18.92,0.24
3,18-02-2019 02:00,55.5,73.42,2.22,6.71,10.86,27.06,13.64,0.44,34.54,0.77,None,0.23,0.66,197.21,None,1001.6,18.33,0
4,18-02-2019 03:00,66.56,96.04,2.79,7,12.1,26.34,13.72,0.45,31.85,0.82,None,0.21,0.61,206.44,None,1001.41,17.63,0
5,18-02-2019 04:00,67.08,97.21,3.29,9.45,15.53,25.16,13.8,0.47,24.07,0.74,None,0.22,0.54,230.53,None,980.67,16.61,0
6,18-02-2019 05:00,71.25,102.73,4.57,15.17,23.77,24.37,14.12,0.5,22.03,0.8,0.05,0.38,0.3,171,None,1002.29,16.91,0
7,18-02-2019 06:00,83.58,107.31,23.18,23.42,63.13,24.6,14.68,0.64,15.09,1.81,None,0.59,0.66,115.02,20.5,1003.36,17.41,0
8,18-02-2019 07:00,95.88,138.21,4.97,10.55,19.52,24.16,14.4,0.45,35.9,1.03,None,0.32,1.8,92.9,140.55,962.85,17.21,0.48
9,18-02-2019 08:00,47.27,77.27,2.92,9.18,14.71,24.67,14.85,0.45,34.63,0.7,None,0.11,0.95,197.08,180.45,1006,18.98,0
10,18-02-2019 09:00,61.29,90,2.23,8.93,13.23,25.2,14.42,0.49,19.65,0.86,None,0.3,1.61,242.24,316.56,1006.54,19.75,0
11,18-02-2019 10:00,76.19,127.46,2.16,10.48,14.75,23.74,14.07,0.52,17.1,0.93,None,0.35,1.46,225.86,513.27,1006.05,21.18,0
12,18-02-2019 11:00,84.48,125.04,2.65,10.46,15.63,20.67,14.16,0.46,36.76,0.9,None,0.26,1.75,114.47,469.3,845.32,17.54,0
13,18-02-2019 12:00,57.98,99.83,1.43,8.02,10.96,22.8,15.21,0.42,52.73,0.79,None,0.17,1.31,134.76,580.58,1003.92,22.07,0
14,18-02-2019 13:00,56.88,87.28,3.91,18.45,26.17,22.3,15.37,0.41,53.87,0.76,None,0.15,1.16,122.3,345.95,1002.73,22.59,0
15,18-02-2019 14:00,53.88,80.23,2.15,13.92,18.6,21.74,15.46,0.44,54.13,0.72,None,0.17,1.73,81.37,239.75,1002.07,21.96,0
16,18-02-2019 15:00,51,74.08,3.67,14.29,21.31,22.21,15.66,0.45,58.96,0.75,None,0.2,1.77,112.79,112.73,1001.77,21.41,0
17,18-02-2019 16:00,42.92,73.67,1.89,11.58,15.5,22.32,14.9,0.45,56.55,0.83,None,0.26,1.27,65.91,3.47,1002.12,19.48,0
18,18-02-2019 17:00,39.07,56.12,2.96,16.35,22.33,23.64,14.72,0.53,42.17,0.92,None,0.27,1.16,103.54,0.89,983.3,18.18,0
